#{"t_start": 1682102231.7842994, "env_id": null}
r,l,t
-63.059108,132,13.911728
-89.791245,70,13.959075
-108.254263,19,13.973122
-93.561994,13,13.982761
-106.962884,83,14.040244
-61.37649,14,14.050167
-70.14515,31,14.071786
-135.132106,72,14.121603
-92.222591,113,14.200324
-66.473954,15,14.21133
-66.452691,47,14.244187
-64.957195,18,14.256759
-62.906336,38,14.282702
-105.023392,24,14.299129
-42.554981,98,14.394962
-120.437563,36,14.419156
-77.521399,114,14.496026
-107.675577,25,14.513445
-93.926112,10,14.520753
-64.22506,19,14.534212
-67.785556,17,14.54649
-108.617023,28,14.566208
9.027092,63,14.609471
-108.79967,112,14.740486
-110.849802,55,14.777557
-100.366949,28,14.79646
-125.637965,65,14.840128
-63.379016,13,14.849457
-101.583106,16,14.860662
-14.131862,151,14.963718
-25.179755,44,14.993649
-102.067473,13,15.002988
-113.600582,72,15.051333
76.530321,151,15.164991
-63.498263,39,15.191516
-72.976365,38,15.217884
-69.593939,23,15.234242
-66.31916,24,15.250603
-103.877972,15,15.261157
-81.011159,49,15.294055
-108.189359,24,15.310002
-86.777189,115,15.386654
-119.266275,53,15.422303
-114.930802,45,15.452732
-26.511031,151,15.552704
-103.142776,97,15.617896
-119.212908,64,15.659896
-77.302005,58,15.698991
-110.232892,31,15.72004
-102.571442,10,15.727341
-30.579843,104,15.809541
-164.355925,87,15.868966
-92.616223,98,15.935338
-157.810456,131,16.023201
-107.975936,29,16.042995
5.3531,151,16.198513
-111.630173,138,16.290597
51.07765,151,16.390284
-104.669826,29,16.409802
-108.723609,31,16.43096
-112.144503,78,16.482407
-46.326455,151,16.594499
-65.586816,51,16.629374
-53.714282,106,16.700575
-125.804633,73,16.749921
-113.809711,138,16.843237
-113.867523,64,16.886173
-109.699624,26,16.904696
-103.873774,12,16.913161
-101.902277,124,16.99454
-103.621101,12,17.002892
-67.177283,60,17.042604
-104.402411,56,17.080055
-126.481883,69,17.12519
-60.549586,25,17.142004
-83.408576,125,17.227626
-116.32466,101,17.294239
-68.322495,20,17.307916
135.962004,151,17.408764
-31.819531,151,17.508214
-66.280927,25,17.525131
-112.471857,45,17.608238
-135.677577,88,17.666752
-89.972385,22,17.681655
-72.494496,45,17.71162
-118.354966,37,17.736554
-80.870865,57,17.774064
-29.122196,151,17.880643
-91.819617,103,17.973614
-61.562832,30,17.995953
-24.961848,151,18.107103
-24.350571,91,18.170452
-65.438528,13,18.179687
-103.260921,14,18.189455
-63.182295,10,18.196762
-58.354722,29,18.216632
-63.110539,20,18.230305
-24.322167,151,18.333031
-112.818435,31,18.354262
-63.709283,48,18.38701
-117.595674,60,18.428223
-66.335322,22,18.444249
-27.84626,151,18.547575
-39.919168,151,18.661031
-100.52937,32,18.682929
-109.266253,61,18.723761
-101.379966,21,18.738543
-61.069802,30,18.75909
-60.007083,151,18.869942
-127.798217,88,18.929429
-69.429228,37,18.954185
-73.23888,82,19.009338
-76.015985,85,19.119678
-130.479981,84,19.176277
-104.771124,150,19.27678
-44.806186,151,19.379032
-121.163522,90,19.439399
-66.308238,33,19.461378
-100.050606,80,19.514436
-116.251373,35,19.537734
-64.151812,99,19.603548
-104.827985,38,19.629203
-48.433242,151,19.733964
-86.02978,147,19.831513
-107.557708,26,19.849373
-102.933103,24,19.865762
-109.175022,26,19.884098
-116.666826,57,19.926638
-6.616492,102,20.001302
-47.376982,151,20.12599
-16.844135,151,20.227126
-61.758612,15,20.23734
-128.091034,142,20.332881
-112.252232,44,20.363314
-56.868751,53,20.400492
-62.322307,59,20.439993
-65.524908,61,20.480821
-129.538917,79,20.587643
6.656597,151,20.702234
-54.241718,151,20.803402
-124.328792,80,20.859872
-88.065151,84,20.915882
-133.259805,98,20.980884
-102.809912,18,20.993406
-54.360184,84,21.049309
-125.981316,145,21.146173
-132.449165,79,21.1996
-131.585437,74,21.249979
-106.267946,16,21.260991
-33.680584,15,21.271328
-91.665434,70,21.331131
-66.077546,100,21.403112
-163.175176,137,21.496678
-120.681184,99,21.576644
59.109107,151,21.683746
-33.639534,151,21.790182
-108.806907,38,21.816218
-39.44337,119,21.896872
-75.98726,41,21.925263
-116.212337,55,21.962841
-67.566923,42,22.044135
-122.909284,66,22.088266
-64.398709,22,22.103455
-79.490696,36,22.127663
-68.261672,68,22.172878
-115.151929,80,22.226032
-114.734057,34,22.249242
-150.621957,139,22.344538
-105.187101,82,22.399211
-92.052242,137,22.490578
-33.471083,109,22.563888
-100.364587,42,22.591994
-56.065016,151,22.692389
-115.723095,37,22.717425
-62.71931,29,22.737707
-110.714264,43,22.766677
-71.537694,62,22.8078
57.294533,139,22.899835
-62.538181,26,22.917538
-94.604808,48,22.95236
-105.62188,108,23.024003
-103.099747,56,23.06161
-29.974647,151,23.162503
-30.744953,151,23.263161
-108.922087,44,23.292947
-59.412978,151,23.393713
3.61316,151,23.554412
-120.722485,54,23.592982
-65.472145,65,23.637875
-107.416673,21,23.652417
-70.743359,151,23.756198
-73.646025,59,23.79575
-50.858757,33,23.818093
-72.198447,46,23.848925
-48.587616,151,23.951904
3.319694,99,24.018124
-112.658159,123,24.100607
65.888351,151,24.202012
-43.733885,151,24.302457
-117.858803,50,24.336688
-48.619477,151,24.452472
-37.016816,151,24.556882
-150.144426,137,24.648601
-63.32093,44,24.679333
-70.40581,72,24.730324
-109.915783,24,24.747256
-112.104655,39,24.774656
-67.26296,20,24.788849
-81.053561,58,24.828006
8.395045,108,24.960303
-149.26542,119,25.044251
-113.641718,74,25.094705
-65.873654,15,25.107623
-31.493444,151,25.208264
-51.193333,151,25.307968
-61.466023,151,25.407471
-105.04322,43,25.436593
-106.17263,23,25.452265
-120.710683,136,25.543045
-70.900607,65,25.586235
-60.768461,86,25.647255
-15.407712,151,25.750678
-54.005214,151,25.863825
-32.023389,109,25.936231
-50.475343,120,26.016338
-61.754202,21,26.030922
-53.050413,129,26.116604
-38.288765,151,26.217587
-106.367302,94,26.280229
-108.66312,63,26.322069
-84.682275,103,26.444848
-31.536907,151,26.561297
-49.453082,151,26.663046
-127.343006,75,26.714244
-17.806444,151,26.815629
-48.730919,151,26.917428
-39.743782,151,27.01851
-69.671699,151,27.119244
-81.32658,68,27.164759
-95.210022,79,27.23027
-70.917355,121,27.310871
32.219782,151,27.4123
-59.845893,151,27.513675
-117.996815,47,27.549975
48.682501,151,27.673178
-76.522204,112,27.748983
-69.79087,57,27.786813
85.507832,151,27.939518
-45.783129,151,28.054099
-84.568208,116,28.131122
-52.988727,151,28.232772
-119.419024,54,28.26881
22.197761,151,28.369102
-102.86463,26,28.386881
29.863968,151,28.488418
-46.002658,151,28.589296
-22.573321,151,28.701536
-106.319832,39,28.728018
-52.002188,151,28.828024
-67.289146,85,28.884936
-84.057181,76,28.935855
-113.919523,72,28.984508
-108.546567,56,29.02318
-66.194066,18,29.035843
-104.177556,24,29.052406
-11.063668,151,29.15347
-96.07035,139,29.247889
-17.833521,117,29.392511
32.714519,151,29.493646
-118.719931,112,29.568939
-8.230949,151,29.669052
-37.412416,151,29.770723
-67.039846,110,29.84615
