#{"t_start": 1681927915.74368, "env_id": null}
r,l,t
-129.923713,30,224.073554
-130.676974,52,224.576549
-134.158717,75,224.649066
-127.350703,158,225.318766
-96.286726,150,225.976724
-132.710488,67,226.049628
15.842992,201,226.769752
-131.195476,25,226.795075
-114.199965,121,227.323344
5.5763,201,228.111081
80.642896,201,228.852803
16.447554,201,229.672061
-130.569226,74,229.740869
-84.000105,161,230.380664
-48.74438,195,231.05672
-130.461212,194,231.767443
-126.381582,71,231.833743
-132.03175,123,232.347543
4.800295,201,233.099513
14.596277,201,233.693176
-115.490605,167,234.425837
-130.005391,126,235.102981
145.95406,201,235.813952
66.358788,201,236.583949
109.783965,201,237.207997
7.962923,201,237.992156
-128.420295,28,238.018702
-130.187308,42,238.058222
-126.171764,41,238.419178
-116.042461,129,239.013284
-88.541365,94,239.525627
-134.001413,51,239.573601
-123.77237,88,240.079621
-120.505889,154,240.759552
6.038134,201,241.392062
52.898339,201,242.180987
32.762647,201,242.840672
-123.695732,87,242.92221
-83.844895,104,243.441955
-13.869257,201,244.129081
25.192145,201,244.857591
-100.116325,177,245.601616
-116.672132,167,246.408673
-131.830815,86,246.958766
-128.311796,38,246.996729
30.917102,201,247.61304
-138.175997,88,248.247833
14.273099,201,248.946811
6.413393,201,249.666269
-123.32984,73,250.226914
-57.598311,151,250.836319
-135.510856,77,251.318122
-125.885822,60,251.375875
-77.743107,84,251.832495
-121.741395,132,252.505593
-134.66088,76,252.577633
-134.61704,59,253.04678
-133.051599,116,253.604153
-132.821572,60,253.661595
-113.067122,123,254.15856
-128.845907,109,254.689728
-158.555409,151,255.239791
121.267852,201,255.942483
-116.750821,129,256.520871
57.817134,201,257.181601
-128.657739,67,257.730208
-39.228047,78,257.820967
-122.930869,63,258.30759
59.677397,201,258.9337
-128.450756,63,259.090532
-138.165354,59,259.154015
-69.13943,153,259.774617
-142.167795,121,260.386132
-126.615576,47,260.430904
157.91177,201,261.097738
-118.483862,103,261.198732
0.692101,201,261.940331
-119.651264,99,262.400558
-127.540509,27,262.427919
14.97031,201,263.061048
-4.19921,201,263.963071
-129.327888,37,263.99893
-66.683405,73,264.404014
-128.22307,86,264.874439
-126.101407,95,264.967584
-74.241457,53,265.472401
-130.910213,34,265.504572
1.678798,201,266.148642
1.871093,201,266.889329
-129.12412,43,266.930094
-124.222103,106,267.448064
-125.243918,115,267.97761
-111.453497,127,268.543157
17.658067,201,269.246444
21.063054,201,269.892963
-127.815915,81,270.434793
19.565503,201,271.117518
-146.612869,112,271.221759
-112.688603,68,271.780707
-32.546945,182,272.342504
-128.332872,70,272.901066
89.730043,201,273.470564
-68.182951,117,274.033771
-127.77776,92,274.603729
-133.288291,58,275.081804
-128.649097,44,275.123897
11.724651,201,275.71402
59.102878,131,276.410972
-117.032921,144,277.229011
-108.583609,163,277.851828
11.960097,201,278.479418
-113.280241,141,279.281919
-113.54146,114,279.387574
-130.098645,25,279.93036
-113.772762,129,280.587373
-126.733182,88,280.670471
-80.738786,111,281.279678
-2.264332,201,282.068266
16.530787,201,282.764572
-126.84532,95,283.480989
-62.304251,33,283.512852
-129.629076,20,283.92476
-125.147045,54,283.978635
2.791461,201,284.644604
16.924269,201,285.543724
-122.455508,58,286.040007
-114.217591,151,286.820045
1.655431,201,287.551936
95.348183,140,288.205801
-112.891329,131,288.918206
-132.483242,193,289.845024
13.489019,201,290.482616
-0.464701,201,291.316989
-107.732732,170,291.862724
-109.084509,185,292.623002
-125.549152,92,293.149097
-114.73935,93,293.238806
-118.965376,77,293.715153
-112.919249,125,294.222873
-122.191672,102,294.74763
6.786533,201,295.434963
-127.6902,97,295.991314
-130.34788,81,296.446069
2.812481,201,297.155325
-127.029508,76,297.661589
1.622128,152,298.256921
-139.752769,152,298.796886
-124.057272,43,298.837559
44.050493,106,299.348987
-130.81278,27,299.858057
-137.780039,94,299.946682
-120.183501,153,300.564209
-116.072605,173,301.438304
-133.777276,58,301.493057
-120.123645,186,302.069692
-122.156231,105,302.669994
13.340514,201,303.401695
-129.375096,44,303.443618
-129.574733,23,303.845728
-97.330688,127,304.506237
-131.554272,50,304.55347
-27.076683,126,305.073851
-121.058334,66,305.136051
-135.146464,90,305.612955
-108.567276,181,306.35059
-133.718879,67,306.416078
-111.531445,117,306.891851
-133.337292,72,307.346169
-131.147066,43,307.386937
-134.198996,110,307.871008
-138.96964,85,307.951524
-129.472346,126,308.493786
-125.479032,44,309.141339
-135.329119,49,309.188893
-130.195538,87,309.564147
-128.91063,46,309.607342
-131.938275,76,309.979686
-128.551904,57,310.033882
-130.664552,23,310.056365
-114.92743,106,310.501015
-132.41162,42,311.014895
-116.404955,181,311.698515
-131.370073,127,312.223937
14.149901,201,312.901838
-119.675309,102,312.998048
-107.306597,191,313.739577
11.338846,144,314.274137
-133.755392,164,314.824992
31.390544,201,315.605395
-130.941987,18,315.623129
-127.701171,79,316.071413
-115.559736,108,316.172422
-14.979063,86,316.777254
-118.617601,103,317.292555
13.307476,201,317.891696
-111.067969,179,318.700096
-120.084841,165,319.276071
-140.662202,54,319.777809
-118.534274,82,319.854507
20.996779,201,320.593205
-131.253105,24,320.616427
-120.279111,102,321.071705
-139.72874,78,321.145177
9.401649,201,321.819294
-125.199022,44,321.861143
25.872558,201,322.505627
-132.718233,95,323.005718
-119.429938,107,323.104917
-124.946129,53,323.696849
-120.248508,61,323.754229
-123.116487,98,324.194843
-131.95758,69,324.701805
-129.728012,144,325.405522
-110.948347,134,325.961647
-127.490437,104,326.444685
-126.02956,78,326.518488
-118.329829,81,327.025115
-124.701142,112,327.531657
15.945743,201,328.250928
-115.259611,119,328.910292
7.692126,201,329.643459
-113.757425,133,330.258358
-3.712374,201,330.845377
-129.456286,27,331.388947
7.387347,192,332.117659
-129.150448,39,332.154779
-115.09721,106,332.661057
-141.111958,87,333.201893
-107.934863,130,333.708021
-126.923186,91,334.196337
51.053457,201,334.886106
16.346502,201,335.660147
12.924176,201,336.288545
-131.276191,74,336.872563
-129.307479,34,336.905116
11.739169,144,337.40679
-121.100856,62,338.001832
-130.869928,33,338.033474
-116.165356,105,338.443968
-124.656935,45,338.486588
-125.997431,68,338.878911
-117.517961,104,339.395257
-126.617584,36,339.430243
-133.331624,67,339.493738
-130.091332,26,339.889377
66.950515,201,340.614201
-124.610851,45,341.12764
12.980604,201,341.85609
-126.272368,84,342.316938
-28.360742,165,342.900099
14.82314,201,343.614746
-123.860238,46,343.658955
-111.754393,176,344.178716
-130.707554,24,344.791983
-139.761513,88,344.876157
-132.19615,62,345.390179
12.836334,201,346.077439
-141.5435,61,346.647303
-78.055597,58,346.705107
-134.270043,57,347.086627
-121.580329,71,347.153655
-127.582054,87,347.628607
-101.196151,154,348.192047
-130.68579,23,348.21489
-122.705046,51,348.710438
0.147211,201,349.378684
-103.092665,133,349.994095
83.744712,130,350.636895
-117.440677,116,351.297771
-103.35958,199,352.042302
-121.017527,83,352.120267
