#{"t_start": 1682011751.0362039, "env_id": null}
r,l,t
-378.100948,88,4.224118
-268.925858,30,4.230643
-163.634214,22,4.235402
-125.501897,24,4.240468
-231.346511,50,4.253582
-543.293903,63,4.267107
-114.255321,15,4.270703
-153.985478,11,4.273405
-156.624301,10,4.276526
-151.406094,10,4.279076
-219.502264,38,4.287202
-107.692396,11,4.289901
-146.998087,16,4.294137
-165.193378,11,4.296988
-120.664068,35,4.304248
-149.31568,12,4.307106
-123.99493,44,4.316323
-103.687959,46,4.325893
-184.615297,15,4.329381
-236.053461,24,4.33447
-208.385668,151,4.364819
-195.955147,87,4.382248
-208.282429,65,4.395268
-134.175931,64,4.408471
-151.790389,22,4.413689
-161.980064,92,4.432267
-157.430688,10,4.434785
-121.446711,10,4.437235
-102.864203,12,4.440381
-169.544223,25,4.445696
-238.882861,48,4.455926
-220.871035,33,4.465079
-102.017519,15,4.469388
-549.598184,90,4.487815
-425.764236,109,4.510634
-98.847621,12,4.513473
-98.665711,10,4.516392
-108.981067,21,4.52086
-150.950457,10,4.523275
-291.030502,98,4.542399
-98.927186,10,4.545351
-113.1071,11,4.548017
-159.58082,38,4.555941
-100.450162,10,4.558467
-114.448161,13,4.562009
-275.87956,72,4.576874
-121.671175,23,4.58183
-152.2052,50,4.591952
-151.489409,10,4.594848
-167.301094,24,4.599989
-105.872663,18,4.60392
-149.247477,11,4.606609
-179.096014,23,4.611796
-235.206223,60,4.623813
-278.940582,50,4.633865
-99.491824,10,4.636423
-105.007728,10,4.63941
-165.008247,10,4.641885
-106.494108,10,4.644388
-108.246029,10,4.646922
-101.981444,11,4.649921
-157.988818,15,4.653333
-97.991058,11,4.656163
-229.109065,35,4.663535
-104.640272,25,4.669334
-98.506744,21,4.673761
-711.70332,98,4.696037
-145.188485,22,4.700872
-148.746528,14,4.704489
-469.278037,66,4.718439
-163.946324,22,4.723333
-169.603131,48,4.733459
-100.177901,10,4.736337
-167.461025,27,4.742158
-236.082005,45,4.751372
-168.831729,40,4.75967
-272.311866,48,4.770162
-157.290239,21,4.774756
-145.680071,19,4.779099
-98.89904,10,4.781491
-98.987857,10,4.78458
-105.005916,11,4.787195
-110.213299,34,4.794315
-101.88944,10,4.796906
-240.112023,44,4.806237
-110.808457,11,4.808857
-161.707439,19,4.812978
-102.439768,10,4.815467
-257.959831,34,4.823044
-100.455248,10,4.825617
-154.728838,85,4.842379
-149.926649,22,4.847319
-99.17129,11,4.850363
-150.713216,10,4.852976
-155.53524,10,4.855603
-103.003041,13,4.858747
-149.864417,23,4.86422
-120.796247,29,4.870312
-149.438914,12,4.87333
-169.773889,24,4.878385
-109.686031,10,4.881375
-303.137139,47,4.891269
-102.929699,10,4.89364
-156.109461,37,4.90162
-102.812175,10,4.906917
-96.781564,30,4.913624
-148.425483,11,4.916398
-177.019177,117,4.940073
-165.095572,11,4.943308
-99.394019,10,4.945908
-155.518299,12,4.948881
-186.899702,96,4.968474
-147.767324,13,4.971982
-166.194163,33,4.97893
-177.86231,36,4.986348
-113.572047,25,4.991684
-163.094308,107,5.01627
-100.226756,24,5.021639
-155.90065,34,5.028701
-189.90559,52,5.039337
-167.230814,12,5.04264
-111.780209,11,5.045289
-108.670532,12,5.048049
-192.820886,28,5.053926
-377.260293,81,5.070429
-115.451489,52,5.08125
-164.393892,17,5.085215
-102.241909,11,5.087852
-194.598283,29,5.094512
-250.374188,133,5.123987
-155.285317,10,5.126537
-100.87893,10,5.129058
-156.499464,29,5.135547
-169.373118,49,5.146058
-224.423457,48,5.155823
-196.900648,22,5.160701
-152.539416,39,5.169226
-197.950977,51,5.179579
-103.277462,10,5.1822
-153.768317,19,5.186434
-165.337927,34,5.193947
-103.785222,11,5.196643
-385.206113,52,5.206998
-121.614468,43,5.215892
-210.33241,100,5.235765
-190.813143,34,5.242949
-174.995258,58,5.254384
-148.963298,13,5.257365
-152.148358,15,5.261135
-182.763139,15,5.264656
-149.034623,26,5.270025
-188.232,22,5.274761
-107.616753,41,5.283795
-97.913248,11,5.286475
-103.373504,12,5.289388
-166.658264,59,5.301399
-98.580526,12,5.304746
-108.144747,11,5.307544
-152.583544,13,5.310603
-103.988791,10,5.313088
-101.462623,15,5.316928
-143.47619,58,5.328747
-108.107938,10,5.331244
-153.881577,27,5.337075
-151.941825,35,5.347737
-100.595116,13,5.350818
-156.819461,11,5.353508
-108.242126,14,5.356789
-129.27802,47,5.367256
-150.743748,39,5.375077
-197.243576,32,5.381902
-147.508726,26,5.387482
-102.32671,10,5.390538
-152.182769,12,5.393436
-157.302188,10,5.395958
-226.258838,30,5.402446
-104.903258,10,5.405512
-107.658434,10,5.407944
-107.933907,37,5.415805
-149.574082,32,5.422619
-147.736874,16,5.426602
-98.317356,10,5.429076
-164.868907,11,5.431847
-250.268654,60,5.444022
-171.433909,32,5.451279
-99.017131,11,5.453979
-101.496641,10,5.456428
-117.989726,55,5.467738
-102.751629,12,5.470905
-385.704146,63,5.483926
-100.147135,10,5.486379
-131.160432,90,5.504104
-155.583067,13,5.507525
-132.095605,44,5.516487
-105.684174,24,5.521631
-209.111466,44,5.530629
-174.800446,21,5.535718
-536.585504,110,5.556932
-148.882867,13,5.566506
-97.418283,14,5.569911
-109.459467,10,5.572972
-151.196516,10,5.575595
-190.464203,51,5.585922
-107.020808,12,5.588827
-245.830779,85,5.60629
-514.238833,60,5.618816
-153.170455,10,5.621345
-100.119729,10,5.623943
-226.784671,74,5.639444
-148.42368,12,5.642401
-120.05264,48,5.652317
-159.789313,36,5.659844
-130.352491,58,5.671904
-137.999355,33,5.678752
-103.982774,22,5.683619
-173.136103,49,5.69349
-101.512017,11,5.69653
-285.339946,71,5.710647
-102.953383,11,5.713383
-100.302191,14,5.716589
-110.456454,37,5.724611
-105.821635,19,5.728861
-100.688147,10,5.731307
-191.603191,32,5.738132
-98.427047,11,5.741382
-155.759174,55,5.75276
-99.333388,10,5.755301
-135.563963,48,5.764937
-116.935177,10,5.767833
-150.586798,13,5.770872
-100.536319,10,5.773465
-267.440952,48,5.789782
-132.155488,27,5.79657
-136.092039,40,5.804886
-155.15671,12,5.807809
-180.413347,23,5.812647
-99.620111,12,5.816037
-114.122616,27,5.82173
-149.959935,12,5.824567
-113.783165,11,5.827236
-148.225372,10,5.83006
-148.36546,11,5.832856
-99.54254,10,5.835276
-100.265934,10,5.837856
-100.509948,10,5.840689
-158.460007,10,5.843185
-107.198881,10,5.845559
-180.149112,26,5.851074
-815.935515,97,5.870544
-115.893557,10,5.873018
-208.754502,50,5.883318
-217.427736,98,5.902705
-187.166237,122,5.92705
-238.437085,47,5.937237
-113.365714,36,5.944742
-154.644071,11,5.947433
-166.596836,61,5.960184
-148.239086,22,5.965155
-98.410306,14,5.96843
-104.792268,24,5.973637
-240.762878,28,5.979808
-119.032006,17,5.983507
-151.395906,17,5.987278
-180.251653,50,5.9977
-189.15203,19,6.004397
-109.822928,34,6.011826
-110.920797,10,6.014379
-158.644182,57,6.026111
-152.151638,10,6.029118
-98.273616,10,6.031631
-161.994169,30,6.03799
-146.823246,16,6.041866
-173.594653,41,6.051114
-239.517558,60,6.06372
-192.975101,60,6.076251
-108.621742,12,6.07914
-151.566927,12,6.082427
-150.158777,10,6.085023
-220.092895,82,6.100846
-99.830783,10,6.10334
-101.217887,13,6.106966
-149.977143,10,6.109527
-98.300779,10,6.112032
-218.872291,36,6.119402
-107.482616,21,6.124614
-109.738195,61,6.136834
-112.261732,11,6.139551
-148.34921,14,6.142901
-150.278636,12,6.146151
-201.391481,36,6.153646
-135.123548,64,6.166668
-102.215416,23,6.171719
-164.45527,25,6.177576
-227.642072,59,6.189925
-128.710877,39,6.198139
-99.048843,22,6.202774
-100.15619,11,6.20583
-224.325463,36,6.213338
-154.195306,10,6.215857
-792.162076,93,6.237919
-191.921317,93,6.257447
-101.322372,13,6.260598
-158.353688,14,6.263867
-161.905087,26,6.269511
-228.658926,48,6.280095
-151.4027,12,6.283087
-109.152904,25,6.288374
-169.253342,47,6.298341
-105.994168,12,6.301689
-98.708654,13,6.30472
-177.894867,70,6.318775
-190.487858,25,6.324247
-121.231592,34,6.331951
-172.303925,22,6.336823
-162.160834,35,6.344135
-103.732322,23,6.349234
-104.603857,10,6.352252
-102.876625,15,6.355736
-195.22565,46,6.365121
-261.48347,63,6.377818
-105.286661,14,6.38151
-98.8442,10,6.383935
-150.551145,23,6.388855
-166.620045,10,6.391466
-97.755256,24,6.396948
-102.284016,10,6.399532
-156.579172,45,6.408745
-214.943253,45,6.41793
-151.935648,14,6.421602
-181.366774,30,6.427918
-152.688952,10,6.430477
-107.135832,26,6.435911
-127.525916,66,6.452086
-478.760901,106,6.473785
-120.015295,39,6.482367
-149.563049,11,6.485095
-98.707633,11,6.488442
-98.308738,11,6.491143
-159.178718,21,6.495718
-101.788376,11,6.498348
-305.330069,93,6.51725
-318.720961,76,6.532781
-180.08,22,6.537493
-197.261968,32,6.544238
-128.893015,50,6.555052
-227.527115,49,6.56504
-105.327927,11,6.567842
-104.21951,13,6.570845
-149.380709,11,6.573956
-146.900631,15,6.577603
-272.452107,85,6.595693
-173.724078,22,6.600552
-150.674686,10,6.603542
-232.772932,66,6.617193
-150.203596,11,6.619957
-130.313616,50,6.63031
-112.344918,52,6.641082
-176.397101,37,6.648979
-118.738176,21,6.653598
-108.943934,38,6.664099
-106.235856,11,6.667352
-114.109719,34,6.674516
-325.15144,101,6.694903
-223.029593,72,6.709522
-104.890498,12,6.712978
-114.961482,22,6.718011
-182.598605,19,6.722274
-151.118059,24,6.727478
-98.425414,11,6.730549
-126.90463,42,6.739271
-106.056515,12,6.742142
-149.988664,32,6.748946
-373.69621,56,6.760889
-185.793832,31,6.76744
-105.008638,12,6.770302
-126.550743,50,6.78055
-150.691132,10,6.783622
-148.635469,13,6.786624
-101.977309,10,6.789085
-165.784845,20,6.79356
-197.308194,27,6.799612
-98.577687,11,6.802388
-165.564064,10,6.804978
-187.8347,34,6.812415
-116.704545,48,6.82266
-176.283583,47,6.832292
-257.499679,38,6.840224
-150.491273,11,6.842902
-105.583929,10,6.845763
-214.365883,58,6.857715
-149.371843,22,6.862365
-164.044129,10,6.864811
-348.70664,48,6.875018
-151.144694,10,6.877553
-206.960939,38,6.887863
-110.379251,29,6.89431
-373.150681,88,6.912986
-149.61171,10,6.915532
-98.153741,15,6.919197
-148.266487,11,6.921862
-167.138464,64,6.935536
-114.491732,52,6.946443
-156.95498,43,6.955341
-101.875133,11,6.957998
-100.350015,13,6.961902
-269.932654,51,6.972955
-155.641623,16,6.976686
-142.697431,35,6.983979
-126.007452,44,6.993287
-148.55531,12,6.996218
-197.53581,63,7.00948
-210.673575,96,7.028567
-696.737727,109,7.05073
-152.904133,17,7.054495
-150.807154,12,7.057353
-136.429557,35,7.064669
-105.352129,13,7.068076
-190.042711,25,7.073444
-235.113207,39,7.081624
-147.523422,13,7.084743
-322.861905,43,7.094056
-100.177379,10,7.096661
-161.493152,65,7.1121
-152.043773,38,7.120365
-167.741676,23,7.125943
-287.262242,59,7.138029
-106.163202,31,7.144852
-111.446357,15,7.148289
-153.742911,69,7.162729
-151.343938,26,7.168208
-325.107235,57,7.179998
-193.97108,40,7.188545
-158.708934,22,7.193671
-169.800564,34,7.200618
-269.967462,72,7.215098
-423.755337,84,7.231928
-154.049962,11,7.235158
-154.09144,10,7.237648
-105.46554,11,7.240365
-109.767847,11,7.243052
-186.030577,59,7.2554
-107.357861,14,7.258581
-107.882568,13,7.261705
-113.911115,25,7.267057
-97.406618,13,7.270561
-148.887812,10,7.27299
-149.343752,11,7.275604
-191.709977,102,7.296385
-270.763153,51,7.307273
-241.362689,28,7.313245
-390.525611,110,7.337633
-187.365297,36,7.345294
-150.79001,10,7.348261
-98.347687,27,7.35394
-150.449596,12,7.356954
-103.516143,29,7.363043
-150.879106,14,7.36677
-234.930925,74,7.38162
-173.698218,41,7.390273
-101.093345,10,7.392727
-159.823313,46,7.402725
-112.106343,13,7.405675
-144.251726,26,7.411382
-238.02758,94,7.43006
-110.955727,45,7.439827
-106.027127,33,7.446946
-164.505107,35,7.454172
-207.216164,17,7.458045
-168.69223,21,7.463209
-173.978327,28,7.469377
-115.115525,14,7.472697
-105.13121,12,7.475578
-177.24687,15,7.479582
-124.50537,74,7.494793
-97.221934,14,7.498111
-110.463548,21,7.502987
-184.074103,24,7.509112
-272.21299,66,7.522919
-171.378957,42,7.531734
-149.962648,10,7.53735
-101.88445,12,7.540698
-306.225418,47,7.550695
-241.397553,64,7.564024
-120.337687,63,7.576798
-98.946166,12,7.580312
-114.690282,21,7.584999
-169.85697,10,7.587548
-160.315081,41,7.596092
-150.677884,11,7.599406
-186.522281,32,7.606274
-169.661736,24,7.611549
-163.24477,34,7.619259
-148.823349,10,7.622241
-156.003811,23,7.627366
-141.316018,62,7.639866
-149.268581,10,7.642406
-118.620731,61,7.655123
-99.299347,11,7.657691
-125.210581,46,7.667058
-115.407419,22,7.671756
-216.89926,35,7.679557
-158.306575,18,7.683656
-180.241372,66,7.697099
-160.051548,13,7.700182
-399.557122,102,7.720393
-110.156584,24,7.725653
-192.124099,59,7.737631
-160.825915,11,7.740339
-302.064948,93,7.761535
-134.317096,46,7.771419
-141.656132,26,7.777025
-171.940854,34,7.783974
-132.561243,51,7.794988
-100.951584,11,7.797692
-127.038223,24,7.80301
-181.234583,12,7.805847
-582.477353,127,7.831228
-112.63432,21,7.835881
-171.984138,36,7.843719
-141.718259,53,7.854593
-316.989191,80,7.871155
-234.554342,38,7.879232
-159.931594,22,7.884161
-128.374456,32,7.891012
-192.074371,61,7.903942
-162.336311,21,7.908543
-98.230947,28,7.914503
-98.848314,20,7.918909
-319.167959,79,7.93528
-161.758971,34,7.942418
-164.865979,49,7.952731
-144.661615,34,7.96002
-170.497738,45,7.971722
-172.706998,91,7.990638
-169.205872,40,7.998931
-175.147158,17,8.002666
-118.530083,24,8.008507
-161.050161,11,8.011286
-103.431678,10,8.013672
-169.578024,28,8.019582
-162.233834,12,8.022838
-175.080658,33,8.029804
-160.411275,29,8.03603
-131.122135,22,8.040743
-148.433354,12,8.043991
-103.312367,10,8.046498
-148.760679,12,8.049383
-154.787634,10,8.051813
-107.674257,14,8.055482
-160.307409,22,8.06029
-132.402239,61,8.072702
-102.201435,10,8.075251
-827.661178,127,8.101343
-104.49736,11,8.104114
-150.155783,12,8.107061
-157.186525,11,8.109664
-152.076457,23,8.115278
-99.176276,11,8.117913
-180.372853,19,8.121992
-194.522865,78,8.137453
-101.504625,11,8.140486
-116.627004,32,8.147089
-174.415871,101,8.167462
-136.728353,46,8.176666
-148.396041,11,8.179669
-98.797307,10,8.184332
-147.25222,53,8.195117
-314.788968,60,8.207938
-234.871752,51,8.218669
-161.717546,24,8.224133
-150.505828,10,8.226597
-117.64868,50,8.236922
-150.511888,14,8.240567
-115.610586,10,8.243158
-173.703851,33,8.249999
-195.177716,31,8.256564
-102.522387,10,8.259392
-100.230307,11,8.262031
-154.93181,10,8.264487
-108.68499,36,8.271888
-154.330165,10,8.274745
-112.407547,10,8.277205
-110.832632,27,8.282794
-150.801787,21,8.287476
-100.536339,10,8.29035
-132.312182,47,8.299969
-107.461629,12,8.302836
-103.957706,11,8.305408
-120.709685,34,8.312674
-158.318295,10,8.315129
-100.289398,10,8.317611
-333.954858,51,8.328266
-203.834288,42,8.336931
-106.608872,10,8.339423
-147.652014,18,8.343378
-107.847184,21,8.347904
-101.325761,11,8.350814
-99.848446,10,8.353229
-150.549362,15,8.356628
-116.309293,33,8.363436
-170.53649,23,8.368575
-766.988365,111,8.390418
